date_saved,county,county_population,partially_covered,rate_partially_covered,fully_covered,rate_fully_covered,date_updated
2021-04-19,Sullivan,6066,1426,,1351,,2021-04-08
2021-04-19,Fulton,14530,1060,,1573,,2021-04-08
2021-04-19,Clinton,38632,2660,,7109,,2021-04-08
2021-04-19,Dauphin,278299,33734,,48283,,2021-04-08
2021-04-19,Juniata,24763,1986,,4499,,2021-04-08
2021-04-19,Centre,162385,19142,,42722,,2021-04-08
2021-04-19,Clarion,38438,2522,,9250,,2021-04-08
2021-04-19,Tioga,40591,2190,,5703,,2021-04-08
2021-04-19,Mckean,40625,4463,,6319,,2021-04-08
2021-04-19,Montour,18230,1761,,7613,,2021-04-08
2021-04-19,Perry,46272,7348,,6412,,2021-04-08
2021-04-19,Crawford,84629,6451,,20817,,2021-04-08
2021-04-19,Allegheny,1216045,226119,,321714,,2021-04-08
2021-04-19,Blair,121829,9135,,24829,,2021-04-08
2021-04-19,Luzerne,317417,37905,,82878,,2021-04-08
2021-04-19,York,449058,50274,,89924,,2021-04-08
2021-04-19,Mifflin,46138,3537,,10401,,2021-04-08
2021-04-19,Somerset,73447,5884,,15861,,2021-04-08
2021-04-19,Greene,36233,4518,,7091,,2021-04-08
2021-04-19,Bucks,628270,89342,,135867,,2021-04-08
2021-04-19,Susquehanna,40328,3646,,6850,,2021-04-08
2021-04-19,Westmoreland,348899,50930,,84696,,2021-04-08
2021-04-19,Monroe,170271,22339,,28713,,2021-04-08
2021-04-19,Snyder,40372,4090,,7544,,2021-04-08
2021-04-19,Chester,524989,113144,,119784,,2021-04-08
2021-04-19,Pike,55809,7338,,7679,,2021-04-08
2021-04-19,Venango,50668,3096,,8751,,2021-04-08
2021-04-19,Erie,269728,26721,,67218,,2021-04-08
2021-04-19,Out-of-State,0,193903,,192286,,2021-04-08
2021-04-19,Northampton,305285,63772,,74765,,2021-04-08
2021-04-19,Carbon,64182,9227,,14610,,2021-04-08
2021-04-19,Lackawanna,209674,29451,,66262,,2021-04-08
2021-04-19,Potter,16526,684,,1932,,2021-04-08
2021-04-19,Lebanon,141793,17481,,26444,,2021-04-08
2021-04-19,Butler,187853,17484,,55947,,2021-04-08
2021-04-19,Lehigh,369318,67409,,92370,,2021-04-08
2021-04-19,Adams,103009,9925,,18978,,2021-04-08
2021-04-19,Huntingdon,45144,2597,,11148,,2021-04-08
2021-04-19,Northumberland,90843,8105,,23627,,2021-04-08
2021-04-19,Bedford,47888,4341,,6345,,2021-04-08
2021-04-19,Warren,39191,5734,,6003,,2021-04-08
2021-04-19,Armstrong,64735,8884,,15852,,2021-04-08
2021-04-19,Philadelphia,1584064,30352,,54165,,2021-04-08
2021-04-19,Clearfield,79255,5983,,19514,,2021-04-08
2021-04-19,Bradford,60323,5126,,9561,,2021-04-08
2021-04-19,Jefferson,43425,3285,,11875,,2021-04-08
2021-04-19,Cambria,130192,12334,,34465,,2021-04-08
2021-04-19,Wyoming,26794,3490,,6044,,2021-04-08
2021-04-19,Lawrence,85512,6967,,17441,,2021-04-08
2021-04-19,Beaver,163929,13147,,25764,,2021-04-08
2021-04-19,Berks,421164,59697,,75549,,2021-04-08
2021-04-19,Elk,29910,2483,,9806,,2021-04-08
2021-04-19,Indiana,84073,7999,,16343,,2021-04-08
2021-04-19,Mercer,109424,7159,,28967,,2021-04-08
2021-04-19,Cameron,4447,433,,1308,,2021-04-08
2021-04-19,Wayne,51361,6282,,11190,,2021-04-08
2021-04-19,Schuylkill,141359,20996,,33748,,2021-04-08
2021-04-19,Union,44923,5381,,8921,,2021-04-08
2021-04-19,Lycoming,113299,9359,,24407,,2021-04-08
2021-04-19,Montgomery,830915,199526,,149964,,2021-04-08
2021-04-19,Washington,206865,38729,,50715,,2021-04-08
2021-04-19,Lancaster,545724,82044,,113641,,2021-04-08
2021-04-19,Cumberland,253370,39489,,51209,,2021-04-08
2021-04-19,Fayette,129274,14862,,32623,,2021-04-08
2021-04-19,Forest,7247,416,,3380,,2021-04-08
2021-04-26,Northampton,305285,65939,,85159,,2021-04-22
2021-04-26,Susquehanna,40328,3489,,7990,,2021-04-22
2021-04-26,Mifflin,46138,3303,,11462,,2021-04-22
2021-04-26,Mercer,109424,7513,,31446,,2021-04-22
2021-04-26,Elk,29910,2516,,10237,,2021-04-22
2021-04-26,Philadelphia,1584064,32815,,58708,,2021-04-22
2021-04-26,Venango,50668,3811,,12198,,2021-04-22
2021-04-26,Perry,46272,7958,,8446,,2021-04-22
2021-04-26,Clearfield,79255,6140,,20856,,2021-04-22
2021-04-26,Cambria,130192,11755,,38181,,2021-04-22
2021-04-26,Centre,162385,20672,,47473,,2021-04-22
2021-04-26,Schuylkill,141359,20452,,37411,,2021-04-22
2021-04-26,Lawrence,85512,7755,,20942,,2021-04-22
2021-04-26,Carbon,64182,9432,,16617,,2021-04-22
